ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
2bSk87AVkCIIC3Bcligq1z,0.716,0.541,1,-7.909,1,0.149,0.0021,0.0,0.115,0.387,139.97799999999998,247055,4,2018,74.0
5PUm2OPZ60dG1UD7ZqgYe6,0.516,0.8809999999999999,6,-4.803999999999999,0,0.0431,0.183,0.00402,0.0874,0.359,149.99,142400,4,2015,14.0
51MC8ZRDXp1brfWFiFG56Y,0.485,0.986,1,-2.806,1,0.253,0.00199,0.00197,0.34299999999999997,0.258,149.963,198400,4,2019,24.0
75oAE4nKWkGkXxnGmCQbnL,0.8220000000000001,0.368,9,-10.272,0,0.0411,0.38799999999999996,0.0902,0.095,0.19899999999999998,200.002,158400,4,2018,34.0
6YXWRtIpZ2F6phDxlMVrwh,0.517,0.932,8,-2.105,1,0.0488,0.0437,0.000598,0.0721,0.179,149.975,202165,4,2015,39.0
694J4C7mBU2dWxQBphFslt,0.7090000000000001,0.36200000000000004,11,-13.556,1,0.249,0.165,0.000132,0.107,0.455,146.023,187681,4,2018,56.0
4LReVzte9B6EOZB895FvsV,0.762,0.93,1,-6.587999999999999,1,0.0456,0.000196,0.892,0.0978,0.308,130.005,461500,4,2019,20.0
6oaBEu0hvzEMFGluixuV2I,0.22399999999999998,0.917,7,-6.186,1,0.413,0.0731,0.0,0.166,0.163,152.69799999999998,187637,4,2018,28.0
4ci6QfJRbdnOFXly0lUOUQ,0.568,0.986,6,-5.404,0,0.0732,1.99e-05,0.6859999999999999,0.293,0.27899999999999997,143.994,457559,4,2019,8.0
52qF3PGgpgnZJnAoy5NYTR,0.584,0.777,9,-4.736000000000001,0,0.0931,0.011000000000000001,0.0105,0.429,0.0515,119.96700000000001,292219,4,2016,12.0
4Hqh0dS4x07zuRw6eBTO7p,0.8859999999999999,0.336,4,-12.779000000000002,1,0.239,0.557,0.0,0.0933,0.536,100.044,230448,4,2020,67.0
0azC730Exh71aQlOt9Zj3y,0.63,0.9279999999999999,9,-2.787,0,0.0331,0.19899999999999998,0.124,0.14800000000000002,0.465,123.963,222160,4,2016,80.0
6GoBXgFNeY5nfQUeSYo3JQ,0.768,0.591,2,-7.591,1,0.239,0.00702,0.0,0.22899999999999998,0.381,139.997,165041,4,2019,5.0
